epoch,start_sec,delta_power,theta_power,alpha_power,beta_power
0,0,0.853744882046847,0.10782756767185486,0.009833407137977241,0.00972593385497169
1,30,0.7460260128881033,0.07970187123900041,0.022155049094343304,0.04805046058132928
2,60,0.7862773673755497,0.03312007922369614,0.017217256585039892,0.01875027466347538
3,90,0.7839368138315757,0.0902543560500815,0.054695300656669665,0.02840440308934916
4,120,0.7302446371851061,0.17071739727034935,0.06751825796373338,0.02615954237556443
5,150,0.777268856403157,0.1948041612063313,0.017237990833096548,0.013853022402017948
6,180,0.772317498064188,0.08899825963608789,0.017592259913191858,0.043509869665550455
7,210,0.8251187909232762,0.0671891809076763,0.007157816237653915,0.00880247979307602
8,240,0.7790993367285296,0.18077248848669436,0.022673150853660097,0.023356711168753364
9,270,0.7874709545388481,0.0680211429403305,0.014736235437820192,0.027111539918961942
10,300,0.8410793970147896,0.045877255560810515,0.011085813618130354,0.012334551823657692
11,330,0.8661567202602057,0.060795508692163915,0.010381877159993164,0.015378582201440493
12,360,0.8565262386145495,0.08805015686202355,0.012478291625518815,0.014671850358798796
13,390,0.8204023257244469,0.08694838506879987,0.013849390131527214,0.019763284015046633
14,420,0.8158367097614019,0.08153268822989362,0.01416726757648891,0.02222121848002171
15,450,0.8088666253850231,0.07382881374977027,0.0203533089939913,0.02679075465096631
16,480,0.7823205252367614,0.09370727976927816,0.023560021732037518,0.03319146326795703
17,510,0.8028711947018374,0.0863882153405169,0.017507576078858538,0.022784452708709442
18,540,0.8093598818453197,0.08305322618755469,0.015249789179207097,0.018413927643731214
19,570,0.7332930425093518,0.09695895719894496,0.02624224128560044,0.05772706935785026
20,600,0.848537108889053,0.05981949179787587,0.017722711613037748,0.028636319985135508
21,630,0.7521418677760826,0.11109106076238798,0.034909334636972114,0.04293920277513397
22,660,0.732247416035505,0.08258988699305786,0.03729950136357349,0.06702613308090864
23,690,0.7057303020621895,0.09846530388679545,0.04173093450115122,0.07480209676562348
24,720,0.8199448673142297,0.09274520674764801,0.019422174154351962,0.027944138797262243
25,750,0.8327937086776879,0.05216119966964292,0.011736665624986166,0.016892024962330495
26,780,0.7886378184608659,0.05771151770867091,0.015906061663430275,0.02612262107086467
27,810,0.7016835504902837,0.10545423893039298,0.03419686788918989,0.06712142612174843
28,840,0.7683302978475529,0.06683806859829665,0.02122795576804199,0.028748949972870454
29,870,0.8356903925718489,0.0690289645561216,0.013324693194243389,0.01997826824166346
30,900,0.8344902231410065,0.06531289655017294,0.020109481536832615,0.033726768960025126
31,930,0.6457753513777522,0.1548507058140923,0.043463770669917356,0.07521328903647823
32,960,0.7668580001977648,0.07460736337230703,0.019786115691573975,0.032279980939978754
33,990,0.7779907245211373,0.08050913806669541,0.023271494649365777,0.043336358540015114
34,1020,0.794274276347069,0.08719067481957113,0.02327287161763654,0.03089755499318646
35,1050,0.8403320333912528,0.058595305054739824,0.01355890531326539,0.018187013205250204
36,1080,0.791490835634884,0.05395191870495893,0.01721026631330866,0.033894861078485564
37,1110,0.8227538333114218,0.09078563867309943,0.02340431742611185,0.02912497200230164
38,1140,0.67682752871772,0.12834052736789847,0.034679835577136504,0.07324224301668497
39,1170,0.756567301872829,0.08378736988021428,0.020373376925679976,0.03806140876708467
40,1200,0.8420459239891158,0.05329217919911915,0.014668155319790228,0.018716640959168647
41,1230,0.8335300784181103,0.0629545104908159,0.017071125843415736,0.02268424789995364
42,1260,0.8328977587680314,0.04866623843609725,0.010940032718981363,0.01904970834413444
43,1290,0.8010092577420529,0.07742627798685528,0.018387432976121873,0.03446736315866721
44,1320,0.7947341030512236,0.0549054947166146,0.021478501792906616,0.030554271596184717
45,1350,0.7242600704344426,0.09843415959260167,0.02587976645262941,0.046333210275586026
46,1380,0.758030752510578,0.08664377162351948,0.03452441710570588,0.050242444864177324
47,1410,0.7826521963296831,0.08270241557423212,0.023307574514707028,0.04802578967230945
48,1440,0.8189330071745645,0.05414532979553337,0.01608198441097035,0.02282245217508614
49,1470,0.7993285551267678,0.06068890865526043,0.016412335928290073,0.01930613224111748
50,1500,0.7667983378226256,0.10254913888928273,0.02039832295253887,0.032798155952344955
51,1530,0.8347968876157954,0.062190421762707816,0.019005541922151665,0.028298346337412485
52,1560,0.7594484156384903,0.06635740738709275,0.01868117230077478,0.03158149535426916
53,1590,0.7784412000599749,0.08328019987320097,0.023686400440917955,0.04161048995886458
54,1620,0.7146461958792224,0.0913949469014634,0.03251750869445489,0.06274384070395397
55,1650,0.790124351942174,0.06683856684410848,0.014752587508739158,0.03133753912574043
56,1680,0.7010352925715454,0.09892778191441452,0.028867398397972577,0.06168541724240671
57,1710,0.46583395653087634,0.2833834877809693,0.06387299203074236,0.09388934393568912
58,1740,0.48769916348963804,0.23654608679329747,0.07746292798005143,0.10636988820012461
59,1770,0.7667661432352979,0.053118290452916335,0.015790907903921823,0.02501351424354854
60,1800,0.7607378132038263,0.09035716305343239,0.024988781018768655,0.03677988461333836
61,1830,0.7800017133951918,0.08696098036375625,0.020451815306083608,0.028982715625579237
62,1860,0.7394697249424178,0.09092677445224205,0.026890291695681613,0.055678839582782164
63,1890,0.8109404493855076,0.05751880522258463,0.016950822334101525,0.026555375541812927
64,1920,0.798142932587163,0.066681770166547,0.014496931410692014,0.029482546711339052
65,1950,0.7951824037221304,0.08293834699505336,0.022002691698786592,0.03998455180264902
66,1980,0.8073958581395464,0.06064058897810498,0.013915243749472162,0.021159508650587917
67,2010,0.8528489451797885,0.07188462764360308,0.017667332244172558,0.01965353844507901
68,2040,0.8520438662149716,0.07519938493579455,0.012783809298751591,0.012168915802563657
69,2070,0.8151469184365236,0.08127391475806946,0.01509436187319486,0.021778764247967496
70,2100,0.8256254378921263,0.05679838029581135,0.013167830272811869,0.01922846960082014
71,2130,0.8462014576666604,0.04343137137930387,0.016665328017295443,0.021592816060321977
72,2160,0.8246198583433797,0.058887288261190926,0.012540252424129955,0.018239180593330517
73,2190,0.8005625593671274,0.08482370718249961,0.02277466335958877,0.03159841878594323
74,2220,0.8407564311693295,0.06930812751489623,0.021274934089268876,0.023000825941099062
75,2250,0.7342565827011754,0.13499474905904998,0.027247703657107245,0.04656984342769805
76,2280,0.7521089361004335,0.08756285484914646,0.02570142356993743,0.03097766387005269
77,2310,0.8119028551188376,0.061876757592087384,0.015190019603828238,0.02015450430610417
78,2340,0.791716614556443,0.05688619890449402,0.016836564767054883,0.035852463083204354
79,2370,0.6742361254607896,0.09863162382959885,0.03401792865591451,0.06441876956200376
80,2400,0.7728165286416149,0.09124707579904325,0.024409084248495288,0.044639800032675994
81,2430,0.7142633209709478,0.0709945402239716,0.02826165663050076,0.05534733933886631
82,2460,0.8201919987390137,0.05627886645079209,0.019361714310664923,0.028400724118502366
83,2490,0.8028845057736307,0.0669949062965674,0.01524668810465783,0.026825223444376517
84,2520,0.8159445455347378,0.04638485636401277,0.010934376090279576,0.01700068932984173
85,2550,0.7909470565991518,0.08169342850318495,0.01662591846301965,0.024456156910778366
86,2580,0.832757638655064,0.04765598630505154,0.009495983729899227,0.013643523973668208
87,2610,0.8064421330115276,0.07088103455526189,0.016820315304620588,0.025896127294629912
88,2640,0.7848742742024362,0.049994483591713115,0.015339252782298137,0.03665947704062475
89,2670,0.8571740644991269,0.055701306983593095,0.010298800285733748,0.014822466192159635
90,2700,0.8165041668535761,0.07885631150295229,0.015981923835530435,0.021661935246370372
91,2730,0.7915383643010949,0.07554402206766851,0.016042659690298233,0.021276819906224098
92,2760,0.8130001291734924,0.06795372242828412,0.015256080474216609,0.016656207545162952
93,2790,0.816190535061796,0.09632494981581936,0.018159750375804487,0.023328455579667468
94,2820,0.8130301368509546,0.101308868224699,0.019266223199288654,0.02668305759070794
95,2850,0.8438834543767423,0.07229014750054344,0.012978969568563032,0.019876777473313952
96,2880,0.8362092605152186,0.10790111864408843,0.0142551484673535,0.02020870794817575
97,2910,0.8275209954042476,0.09017670265905646,0.016900713081868173,0.025479157466433346
98,2940,0.8034021347983856,0.07543140560587752,0.014493380778218963,0.019002044582118596
99,2970,0.8190676297870955,0.10156000791833082,0.017240060937733795,0.021012859519911862
100,3000,0.8681561162337871,0.06944226760244676,0.011350030007663115,0.01410896679718915
101,3030,0.8230211509860331,0.14666787264089828,0.015308548835236831,0.017970295804868273
102,3060,0.8275321276146156,0.08432651439700621,0.01354031997485856,0.018057318786665832
103,3090,0.8580593243318081,0.08667173530824054,0.013921410575115848,0.020318963874844952
104,3120,0.8302614804714865,0.04824203270200443,0.01042447012098668,0.01348642077724345
105,3150,0.782126585683586,0.05091858327964903,0.014681350525204464,0.03252007033846215
106,3180,0.8565674179514576,0.04789758233544256,0.010228207249143213,0.020019834318089784
107,3210,0.8499187635596539,0.06700343043988019,0.010482133130419848,0.01338286728586727
